,;utc_timestamp;price
567,567;95536;49.36
568,568;95537;50.97
569,569;95538;45.23
570,570;95539;44.1
571,571;95540;38.07
572,572;95541;37.71
573,573;95542;35.88
574,574;95543;33.62
575,575;95544;35.23
576,576;95545;32.99
577,577;95546;32.02
578,578;95547;31. Mai
579,579;95548;31.18
580,580;95549;34.85
581,581;95550;37.98
582,582;95551;47.1
583,583;95552;48.49
584,584;95553;47.97
585,585;95554;47.42
586,586;95555;48.25
587,587;95556;47.95
588,588;95557;47.95
589,589;95558;47.92
590,590;95559;48.81
591,591;95560;49.96
592,592;95561;54.75
593,593;95562;48.29
594,594;95563;48.94
595,595;95564;43.52
596,596;95565;38.92
597,597;95566;38.67
598,598;95567;35.24
599,599;95568;32.5
600,600;95569;31.93
601,601;95570;31.82
602,602;95571;31.84
603,603;95572;32.07
604,604;95573;32.35
605,605;95574;33.36
606,606;95575;42.22
607,607;95576;44.1
608,608;95577;46.76
609,609;95578;48.92
610,610;95579;48.56
611,611;95580;47.91
612,612;95581;43.97
613,613;95582;38.24
614,614;95583;40.44
615,615;95584;45.3
616,616;95585;47.96
617,617;95586;43.95
618,618;95587;37.5
619,619;95588;32.91
620,620;95589;32.75
621,621;95590;31.72
622,622;95591;28.25
623,623;95592;22.92
624,624;95593;21.14
625,625;95594;20.25
626,626;95595;20.28
627,627;95596;20.95
628,628;95597;27.0
629,629;95598;28. Feb
630,630;95599;28.93
631,631;95600;31.35
632,632;95601;33.19
633,633;95602;34.24
634,634;95603;38.13
635,635;95604;35.69
636,636;95605;33.44
637,637;95606;33.53
638,638;95607;34.2
639,639;95608;37.48
640,640;95609;41.07
641,641;95610;41.05
642,642;95611;36.08
643,643;95612;34.69
644,644;95613;32.69
645,645;95614;32.16
646,646;95615;28.43
647,647;95616;27. Jun
648,648;95617;28.24
649,649;95618;24.31
650,650;95619;24. Mrz
651,651;95620;26.81
652,652;95621;31.96
653,653;95622;37.94
654,654;95623;47.88
655,655;95624;46.99
656,656;95625;44.42
657,657;95626;37.92
658,658;95627;43.53
659,659;95628;37.38
660,660;95629;44.81
661,661;95630;45.77
662,662;95631;51.38
663,663;95632;57.21
664,664;95633;65.11
665,665;95634;51.42
666,666;95635;48.5
667,667;95636;45.97
668,668;95637;39.29
669,669;95638;36.14
670,670;95639;34.59
671,671;95640;36.92
672,672;95641;35.78
673,673;95642;34.81
674,674;95643;34.43
675,675;95644;34.89
676,676;95645;36.75
677,677;95646;44.68
678,678;95647;54.95
679,679;95648;52.65
680,680;95649;48.5
681,681;95650;43.69
682,682;95651;42.2
683,683;95652;40.42
684,684;95653;41.75
685,685;95654;43.12
686,686;95655;50.94
687,687;95656;55.58
688,688;95657;55.66
689,689;95658;52.61
690,690;95659;47.94
691,691;95660;39.97
692,692;95661;35.9
693,693;95662;32.9
694,694;95663;30.38
695,695;95664;27.75
696,696;95665;27.36
697,697;95666;27. Feb
698,698;95667;25. Mrz
699,699;95668;28. Apr
700,700;95669;29.93
701,701;95670;34.13
702,702;95671;47.92
703,703;95672;47.91
704,704;95673;44.47
705,705;95674;37.49
706,706;95675;37.91
707,707;95676;37.42
708,708;95677;35.98
709,709;95678;39.33
710,710;95679;38.74
711,711;95680;44.75
712,712;95681;46.93
713,713;95682;39.95
714,714;95683;39.47
715,715;95684;35.08
716,716;95685;32.58
717,717;95686;31.86
718,718;95687;27.0
719,719;95688;26.79
720,720;95689;14.95
721,721;95690;Nov 95
722,722;95691;Okt 27
723,723;95692;Nov 29
724,724;95693;21.93
725,725;95694;32.06
726,726;95695;35.39
727,727;95696;34.36
728,728;95697;37.01
729,729;95698;38.79
730,730;95699;36.36
731,731;95700;33.99
732,732;95701;32.29
733,733;95702;31.37
734,734;95703;31.38
735,735;95704;32.38
736,736;95705;35.73
737,737;95706;32.94
738,738;95707;33.86
739,739;95708;31.32
740,740;95709;28. Jan
741,741;95710;19.66
742,742;95711;Aug 94
743,743;95712;Jul 23
744,744;95713;07. Feb
745,745;95714;06. Jul
746,746;95715;Aug 79
747,747;95716;19.83
748,748;95717;26.88
749,749;95718;31.87
750,750;95719;46.06
751,751;95720;46.94
752,752;95721;44.71
753,753;95722;43.5
754,754;95723;46.9
755,755;95724;46.93
756,756;95725;47.97
757,757;95726;49.54
758,758;95727;51.11
759,759;95728;49.99
760,760;95729;56.85
761,761;95730;58.1
762,762;95731;50.03
763,763;95732;52.07
764,764;95733;47.91
765,765;95734;44.02
766,766;95735;36.03
767,767;95736;32.9
768,768;95737;33.11
769,769;95738;33.71
770,770;95739;33.49
771,771;95740;33.63
772,772;95741;33.21
773,773;95742;36.69
774,774;95743;36.0
775,775;95744;39.0
776,776;95745;45.96
777,777;95746;40.13
778,778;95747;38.22
779,779;95748;37.32
780,780;95749;36.18
781,781;95750;39.69
782,782;95751;47.94
783,783;95752;52.0
784,784;95753;64.6
785,785;95754;58.94
786,786;95755;48.9
787,787;95756;44.97
788,788;95757;40.73
789,789;95758;41.9
790,790;95759;34.42
791,791;95760;35.6
792,792;95761;33.9
793,793;95762;34.22
794,794;95763;34.28
795,795;95764;33.75
796,796;95765;33.75
797,797;95766;33.85
798,798;95767;33.1
799,799;95768;35.08
800,800;95769;36.28
801,801;95770;35.88
802,802;95771;36.33
803,803;95772;34.42
804,804;95773;34.02
805,805;95774;34.2
806,806;95775;35.68
807,807;95776;44.0
808,808;95777;47.98
809,809;95778;48.96
810,810;95779;49.9
811,811;95780;46.95
812,812;95781;43.91
813,813;95782;46.34
814,814;95783;35.75
815,815;95784;35.77
816,816;95785;35.03
817,817;95786;33.56
818,818;95787;33.27
819,819;95788;34.93
820,820;95789;37.44
821,821;95790;50.38
822,822;95791;62.55
823,823;95792;64.79
824,824;95793;56.45
825,825;95794;47.93
826,826;95795;46.98
827,827;95796;39.65
828,828;95797;54.45
829,829;95798;62.36
830,830;95799;62.36
831,831;95800;63.45
832,832;95801;78.39
833,833;95802;58.42
834,834;95803;56.96
835,835;95804;48.9
836,836;95805;40.99
837,837;95806;33.94
838,838;95807;33.51
839,839;95808;38.02
840,840;95809;41.58
841,841;95810;36.53
842,842;95811;38.15
843,843;95812;42.93
844,844;95813;46.66
845,845;95814;49.5
846,846;95815;74.73
847,847;95816;80.09
848,848;95817;76.0
849,849;95818;66.39
850,850;95819;58.99
851,851;95820;56.77
852,852;95821;58.12
853,853;95822;63.61
854,854;95823;66.31
855,855;95824;72.97
856,856;95825;89.25
857,857;95826;82.71
858,858;95827;75.39
859,859;95828;62.76
860,860;95829;46.98
861,861;95830;39.47
862,862;95831;36.08
863,863;95832;33.09
864,864;95833;32.77
865,865;95834;31.91
866,866;95835;31.41
867,867;95836;31. Jul
868,868;95837;32.43
869,869;95838;38.0
870,870;95839;45.28
871,871;95840;47.96
872,872;95841;46.95
873,873;95842;46.98
874,874;95843;44.89
875,875;95844;40.0
876,876;95845;39.13
877,877;95846;39.11
878,878;95847;41.12
879,879;95848;44.47
880,880;95849;45.28
881,881;95850;38.39
882,882;95851;36.03
883,883;95852;34.14
884,884;95853;32.03
885,885;95854;30.85
886,886;95855;27. Mrz
887,887;95856;22.46
888,888;95857;13. Jul
889,889;95858;Nov 57
890,890;95859;Nov 79
891,891;95860;13.33
892,892;95861;17.94
893,893;95862;29.36
894,894;95863;33.56
895,895;95864;36.01
896,896;95865;36.34
897,897;95866;32.88
898,898;95867;31.97
899,899;95868;30.83
900,900;95869;32.46
901,901;95870;36.33
902,902;95871;42.33
903,903;95872;43.97
904,904;95873;46.99
905,905;95874;43.41
906,906;95875;39.96
907,907;95876;35.0
908,908;95877;30. Jul
909,909;95878;29. Sep
910,910;95879;27.27
911,911;95880;27.59
912,912;95881;25.56
913,913;95882;25. Dez
914,914;95883;25.52
915,915;95884;27.46
916,916;95885;27.55
917,917;95886;31.57
918,918;95887;44.47
919,919;95888;46.99
920,920;95889;43.68
921,921;95890;45.93
